code_insee;val_ind;conc_pm10;conc_pm25;conc_no2;conc_so2;conc_o3;poll_resp;date_run;date_ech
36037;4;17.6;9.9;19.1;0.1;152.6;o3;15/06/2023;15/06/2023
18201;4;14.8;8.9;17.4;0.1;144.3;o3;15/06/2023;15/06/2023
36043;4;14.5;8.8;17.2;0.1;140.7;o3;15/06/2023;15/06/2023
18286;4;14.9;8.7;16.2;0.1;144.1;o3;15/06/2023;15/06/2023
37042;4;19;10.8;16.3;0.4;147;o3;15/06/2023;15/06/2023
18246;4;15.9;8.5;18.3;0.2;151.1;o3;15/06/2023;15/06/2023
37148;4;16;9.6;17.7;0.2;145;o3;15/06/2023;15/06/2023
18285;4;15.8;9.2;16.1;0.1;144.5;o3;15/06/2023;15/06/2023
41221;4;17.8;10.1;17;0.2;153;o3;15/06/2023;15/06/2023
41205;4;18;10.5;20.9;0.2;145.4;o3;15/06/2023;15/06/2023
28242;4;20.4;11.4;17.8;0.3;170.6;o3;15/06/2023;15/06/2023
18182;4;15.8;9.1;16;0.1;144.1;o3;15/06/2023;15/06/2023
45242;4;17.2;8.7;19.3;0.5;164.6;o3;15/06/2023;15/06/2023
37157;4;15.3;9.2;16;0.2;144.2;o3;15/06/2023;15/06/2023
41065;4;17.3;10;18.9;0.2;146.6;o3;15/06/2023;15/06/2023
18233;4;15.3;8.4;17.3;0.2;144.3;o3;15/06/2023;15/06/2023
41025;4;16.3;10;15.2;0.1;153.2;o3;15/06/2023;15/06/2023
18271;4;16.3;9.5;17.2;0.2;149.2;o3;15/06/2023;15/06/2023
18145;4;15.2;8.9;15.8;0.1;146.2;o3;15/06/2023;15/06/2023
41259;4;17.9;10.4;18.6;0.2;145.4;o3;15/06/2023;15/06/2023
45131;4;19.6;9.8;18.4;0.5;175;o3;15/06/2023;15/06/2023
18155;4;14.6;8.7;15.3;0.1;144.9;o3;15/06/2023;15/06/2023
37024;4;18.4;10.7;14.5;0.3;146.2;o3;15/06/2023;15/06/2023
28068;4;22.2;12.3;19.3;0.5;172.6;o3;15/06/2023;15/06/2023
41036;4;16.9;9.6;16.9;0.2;161.7;o3;15/06/2023;15/06/2023
45179;4;17.4;10;20.6;0.3;163;o3;15/06/2023;15/06/2023
37037;4;18.8;10.6;16.1;0.4;145.9;o3;15/06/2023;15/06/2023
45125;4;19.8;9.9;19.1;0.5;170.9;o3;15/06/2023;15/06/2023
36108;4;16.1;9.4;15.6;0.1;146.4;o3;15/06/2023;15/06/2023
36171;4;15.2;8.9;17.1;0.1;155;o3;15/06/2023;15/06/2023
36065;4;15.2;8.9;16.1;0.1;153.9;o3;15/06/2023;15/06/2023
37249;4;18.9;10.6;18.4;0.3;147.6;o3;15/06/2023;15/06/2023
37244;4;17.2;10.2;16.7;0.3;146.5;o3;15/06/2023;15/06/2023
36022;4;15.4;9.2;16;0.1;145.5;o3;15/06/2023;15/06/2023
28284;4;22.2;12.1;22.4;0.6;189.8;o3;15/06/2023;15/06/2023
45100;4;18.2;10.1;22.4;0.4;163.8;o3;15/06/2023;15/06/2023
45132;4;19.4;9.8;18.2;0.5;177.9;o3;15/06/2023;15/06/2023
45054;4;20;10.1;20.1;0.5;173.7;o3;15/06/2023;15/06/2023
18136;4;14.5;8.8;15.5;0.1;140.9;o3;15/06/2023;15/06/2023
45043;4;17.8;9.9;19.2;0.3;163;o3;15/06/2023;15/06/2023
28149;4;23;12.6;18;0.2;174.6;o3;15/06/2023;15/06/2023
28166;4;21.5;11.9;16.9;0.3;168.9;o3;15/06/2023;15/06/2023
37116;4;17.5;10.1;16.2;0.2;146.3;o3;15/06/2023;15/06/2023
45170;4;22.4;11.8;25.4;0.7;182.7;o3;15/06/2023;15/06/2023
36126;4;14.6;8.9;15.7;0.1;138.8;o3;15/06/2023;15/06/2023
41164;4;15.7;9.4;17.8;0.2;147.7;o3;15/06/2023;15/06/2023
28208;4;22.5;12.6;22.4;0.6;178;o3;15/06/2023;15/06/2023
